Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-0001,9/26/2016,1/4/2016,Same Day,CUST-001,Customer 001,Corporate,United States,Los Angeles,California,98730,West,PROD-0001,Office Supplies,Art,Product 001,374.87,2,0.06,176.4
CA-2016-0002,2/9/2016,1/3/2016,Standard Class,CUST-002,Customer 002,Home Office,United States,Houston,New York,41580,East,PROD-0002,Furniture,Bookcases,Product 002,313.43,3,0.22,-15.34
CA-2016-0003,5/16/2016,1/4/2016,Standard Class,CUST-003,Customer 003,Corporate,United States,New York,Illinois,53708,West,PROD-0003,Technology,Tables,Product 003,368.08,2,0.25,242.31
CA-2016-0004,9/28/2016,1/5/2016,Standard Class,CUST-004,Customer 004,Home Office,United States,Chicago,California,79961,South,PROD-0004,Technology,Tables,Product 004,793.02,4,0.21,153.24
CA-2016-0005,4/6/2016,1/4/2016,First Class,CUST-005,Customer 005,Corporate,United States,New York,Arizona,88645,South,PROD-0005,Technology,Chairs,Product 005,721.37,10,0.47,48.38
CA-2016-0006,4/25/2016,1/5/2016,Second Class,CUST-006,Customer 006,Home Office,United States,Phoenix,Arizona,74864,West,PROD-0006,Furniture,Tables,Product 006,316.17,10,0.11,186.82
CA-2016-0007,2/9/2016,1/4/2016,Standard Class,CUST-007,Customer 007,Consumer,United States,Chicago,New York,93277,East,PROD-0007,Technology,Phones,Product 007,22.67,6,0.3,44.17
CA-2016-0008,3/6/2016,1/4/2016,First Class,CUST-008,Customer 008,Corporate,United States,Los Angeles,Illinois,12560,South,PROD-0008,Technology,Bookcases,Product 008,76.22,9,0.12,169.97
CA-2016-0009,10/26/2016,1/5/2016,Second Class,CUST-009,Customer 009,Home Office,United States,New York,New York,32854,East,PROD-0009,Technology,Bookcases,Product 009,372.48,6,0.38,107.07
CA-2016-0010,9/22/2016,1/2/2016,Same Day,CUST-010,Customer 010,Corporate,United States,Phoenix,Texas,69310,Central,PROD-0010,Technology,Tables,Product 010,122.13,7,0.25,122.86
CA-2016-0011,7/6/2016,1/5/2016,Second Class,CUST-011,Customer 011,Home Office,United States,Chicago,Texas,79756,West,PROD-0011,Technology,Chairs,Product 011,695,3,0.44,269.83
CA-2016-0012,2/6/2016,1/4/2016,Standard Class,CUST-012,Customer 012,Consumer,United States,Los Angeles,New York,60164,East,PROD-0012,Furniture,Tables,Product 012,260.42,6,0.39,179.45
CA-2016-0013,5/3/2016,1/5/2016,Same Day,CUST-013,Customer 013,Consumer,United States,Chicago,California,31952,South,PROD-0013,Office Supplies,Tables,Product 013,953.67,6,0.41,128.03
CA-2016-0014,7/22/2016,1/5/2016,Second Class,CUST-014,Customer 014,Consumer,United States,Houston,Texas,31664,South,PROD-0014,Office Supplies,Binders,Product 014,479.67,7,0.09,2.58
CA-2016-0015,9/6/2016,1/3/2016,Same Day,CUST-015,Customer 015,Consumer,United States,Phoenix,Illinois,34886,East,PROD-0015,Office Supplies,Art,Product 015,487,2,0.06,144.69
CA-2016-0016,1/8/2016,1/6/2016,Standard Class,CUST-016,Customer 016,Consumer,United States,Los Angeles,New York,93635,Central,PROD-0016,Office Supplies,Art,Product 016,645.73,10,0.09,140.01
CA-2016-0017,5/3/2016,1/4/2016,Same Day,CUST-017,Customer 017,Corporate,United States,New York,Arizona,82898,South,PROD-0017,Technology,Bookcases,Product 017,309.8,9,0.08,-0.97
CA-2016-0018,9/6/2016,1/5/2016,Same Day,CUST-018,Customer 018,Consumer,United States,Houston,Illinois,41172,Central,PROD-0018,Technology,Bookcases,Product 018,87.68,2,0.33,71.33
CA-2016-0019,7/2/2016,1/2/2016,Standard Class,CUST-019,Customer 019,Home Office,United States,Houston,Texas,79036,West,PROD-0019,Technology,Phones,Product 019,219.7,8,0.33,170.53
CA-2016-0020,3/16/2016,1/6/2016,Standard Class,CUST-020,Customer 020,Home Office,United States,Phoenix,Illinois,58683,Central,PROD-0020,Furniture,Tables,Product 020,845.41,7,0.35,-6.41
CA-2016-0021,10/25/2016,1/3/2016,Standard Class,CUST-021,Customer 021,Consumer,United States,New York,Arizona,71686,East,PROD-0021,Furniture,Tables,Product 021,745.87,7,0.21,251.22
CA-2016-0022,10/13/2016,1/3/2016,Standard Class,CUST-022,Customer 022,Consumer,United States,Houston,California,71014,South,PROD-0022,Technology,Binders,Product 022,459.15,8,0.04,98.48
CA-2016-0023,7/31/2016,1/5/2016,Standard Class,CUST-023,Customer 023,Consumer,United States,Houston,Texas,93414,South,PROD-0023,Furniture,Chairs,Product 023,979.63,2,0.11,81.59
CA-2016-0024,3/9/2016,1/5/2016,Standard Class,CUST-024,Customer 024,Home Office,United States,Chicago,Illinois,87755,Central,PROD-0024,Furniture,Bookcases,Product 024,442.84,3,0.22,-48.48
CA-2016-0025,1/28/2016,1/6/2016,Second Class,CUST-025,Customer 025,Corporate,United States,Los Angeles,Texas,67487,West,PROD-0025,Furniture,Binders,Product 025,350.94,5,0.22,-8.78
CA-2016-0026,8/14/2016,1/2/2016,Second Class,CUST-026,Customer 026,Corporate,United States,New York,New York,69065,East,PROD-0026,Office Supplies,Phones,Product 026,640.99,5,0.09,199.27
CA-2016-0027,7/9/2016,1/6/2016,Second Class,CUST-027,Customer 027,Home Office,United States,New York,Illinois,47736,East,PROD-0027,Furniture,Binders,Product 027,822.91,5,0.11,171.62
CA-2016-0028,10/11/2016,1/6/2016,First Class,CUST-028,Customer 028,Home Office,United States,Houston,Texas,42556,South,PROD-0028,Furniture,Phones,Product 028,497.74,7,0.39,289.16
CA-2016-0029,6/15/2016,1/3/2016,Standard Class,CUST-029,Customer 029,Corporate,United States,Los Angeles,California,95612,South,PROD-0029,Office Supplies,Chairs,Product 029,263.25,5,0.31,295.09
CA-2016-0030,12/8/2016,1/6/2016,Standard Class,CUST-030,Customer 030,Consumer,United States,New York,Illinois,74727,South,PROD-0030,Furniture,Bookcases,Product 030,572.37,4,0.46,163.77
CA-2016-0031,4/16/2016,1/5/2016,Second Class,CUST-031,Customer 031,Home Office,United States,New York,Texas,46398,West,PROD-0031,Office Supplies,Bookcases,Product 031,433.14,8,0.15,36.41
CA-2016-0032,11/20/2016,1/6/2016,First Class,CUST-032,Customer 032,Consumer,United States,Houston,Texas,27282,Central,PROD-0032,Technology,Tables,Product 032,588.53,1,0.43,163.39
CA-2016-0033,9/4/2016,1/3/2016,Same Day,CUST-033,Customer 033,Consumer,United States,Los Angeles,Arizona,38038,East,PROD-0033,Furniture,Tables,Product 033,948.22,6,0.44,289.16
CA-2016-0034,6/15/2016,1/5/2016,First Class,CUST-034,Customer 034,Corporate,United States,Chicago,Arizona,48893,South,PROD-0034,Furniture,Art,Product 034,806.85,9,0.25,148.61
CA-2016-0035,12/12/2016,1/3/2016,Standard Class,CUST-035,Customer 035,Home Office,United States,Los Angeles,Texas,83724,East,PROD-0035,Office Supplies,Art,Product 035,282.3,8,0.35,-9.14
CA-2016-0036,1/3/2016,1/2/2016,Standard Class,CUST-036,Customer 036,Corporate,United States,Los Angeles,New York,36290,East,PROD-0036,Office Supplies,Binders,Product 036,358.48,4,0.11,111.34
CA-2016-0037,4/11/2016,1/5/2016,Same Day,CUST-037,Customer 037,Consumer,United States,Phoenix,Arizona,50759,West,PROD-0037,Technology,Bookcases,Product 037,908.66,8,0.12,105.77
CA-2016-0038,11/29/2016,1/3/2016,First Class,CUST-038,Customer 038,Home Office,United States,Phoenix,Illinois,10193,South,PROD-0038,Furniture,Bookcases,Product 038,129.48,8,0.16,7.56
CA-2016-0039,10/10/2016,1/2/2016,First Class,CUST-039,Customer 039,Corporate,United States,Phoenix,Illinois,37765,Central,PROD-0039,Technology,Binders,Product 039,881.35,7,0.22,129.49
CA-2016-0040,9/23/2016,1/4/2016,Standard Class,CUST-040,Customer 040,Consumer,United States,Phoenix,California,56866,Central,PROD-0040,Furniture,Bookcases,Product 040,617.46,4,0.3,-34.45
CA-2016-0041,4/30/2016,1/5/2016,Second Class,CUST-041,Customer 041,Corporate,United States,Chicago,New York,89868,Central,PROD-0041,Furniture,Art,Product 041,543.17,8,0,41.01
CA-2016-0042,4/19/2016,1/5/2016,Standard Class,CUST-042,Customer 042,Consumer,United States,Chicago,California,98872,Central,PROD-0042,Office Supplies,Phones,Product 042,171.77,1,0.38,44.22
CA-2016-0043,11/22/2016,1/6/2016,Standard Class,CUST-043,Customer 043,Corporate,United States,Chicago,Texas,12647,West,PROD-0043,Furniture,Bookcases,Product 043,22.27,10,0.29,200.04
CA-2016-0044,4/5/2016,1/3/2016,First Class,CUST-044,Customer 044,Corporate,United States,Chicago,California,33185,Central,PROD-0044,Furniture,Tables,Product 044,335.75,7,0.3,72.55
CA-2016-0045,4/11/2016,1/2/2016,Second Class,CUST-045,Customer 045,Consumer,United States,Houston,New York,10564,South,PROD-0045,Technology,Binders,Product 045,346.04,2,0.13,115.82
CA-2016-0046,7/27/2016,1/4/2016,Second Class,CUST-046,Customer 046,Consumer,United States,Houston,Illinois,65494,Central,PROD-0046,Technology,Tables,Product 046,203.16,6,0.47,11.04
CA-2016-0047,11/14/2016,1/4/2016,First Class,CUST-047,Customer 047,Corporate,United States,Los Angeles,Illinois,13800,East,PROD-0047,Technology,Binders,Product 047,705.04,5,0.21,200.25
CA-2016-0048,3/15/2016,1/6/2016,First Class,CUST-048,Customer 048,Home Office,United States,Houston,Illinois,91634,South,PROD-0048,Technology,Phones,Product 048,724.43,7,0.27,99.54
CA-2016-0049,6/16/2016,1/6/2016,Same Day,CUST-049,Customer 049,Corporate,United States,Houston,California,48794,West,PROD-0049,Furniture,Tables,Product 049,209.6,2,0.38,194.21
CA-2016-0050,2/7/2016,1/2/2016,Same Day,CUST-050,Customer 050,Consumer,United States,Phoenix,Arizona,68254,East,PROD-0050,Furniture,Art,Product 050,508.28,10,0.26,101.89
CA-2016-0051,4/17/2016,1/5/2016,Standard Class,CUST-051,Customer 051,Home Office,United States,Phoenix,Arizona,78025,Central,PROD-0051,Furniture,Bookcases,Product 051,267.58,6,0.4,90.12
CA-2016-0052,11/8/2016,1/2/2016,Second Class,CUST-052,Customer 052,Corporate,United States,Chicago,Texas,89034,Central,PROD-0052,Furniture,Tables,Product 052,124.17,3,0.24,29.4
CA-2016-0053,7/12/2016,1/3/2016,First Class,CUST-053,Customer 053,Home Office,United States,Phoenix,California,85115,Central,PROD-0053,Office Supplies,Tables,Product 053,48.08,1,0.26,82.86
CA-2016-0054,11/9/2016,1/4/2016,Standard Class,CUST-054,Customer 054,Consumer,United States,Houston,Arizona,77061,South,PROD-0054,Technology,Art,Product 054,179.56,9,0.28,47.73
CA-2016-0055,11/29/2016,1/5/2016,Second Class,CUST-055,Customer 055,Home Office,United States,Houston,Texas,79997,South,PROD-0055,Technology,Tables,Product 055,969.49,7,0.18,73.44
CA-2016-0056,10/14/2016,1/3/2016,First Class,CUST-056,Customer 056,Corporate,United States,Houston,Illinois,89427,South,PROD-0056,Technology,Art,Product 056,295.29,5,0.45,-9.9
CA-2016-0057,3/14/2016,1/2/2016,Second Class,CUST-057,Customer 057,Home Office,United States,Houston,Texas,66971,West,PROD-0057,Furniture,Phones,Product 057,907.77,6,0.29,5.93
CA-2016-0058,6/19/2016,1/2/2016,First Class,CUST-058,Customer 058,Corporate,United States,Los Angeles,California,88291,West,PROD-0058,Technology,Bookcases,Product 058,48.7,2,0.4,259.62
CA-2016-0059,9/7/2016,1/6/2016,Same Day,CUST-059,Customer 059,Corporate,United States,Chicago,New York,15174,Central,PROD-0059,Office Supplies,Phones,Product 059,643.65,6,0.26,250.04
CA-2016-0060,12/11/2016,1/2/2016,Standard Class,CUST-060,Customer 060,Corporate,United States,Chicago,New York,73907,West,PROD-0060,Technology,Art,Product 060,833.47,1,0.33,290.46
CA-2016-0061,2/27/2016,1/6/2016,Same Day,CUST-061,Customer 061,Home Office,United States,Los Angeles,New York,66312,East,PROD-0061,Office Supplies,Binders,Product 061,658.92,5,0.33,108.57
CA-2016-0062,1/1/2016,1/3/2016,Same Day,CUST-062,Customer 062,Home Office,United States,Chicago,Texas,61451,East,PROD-0062,Furniture,Binders,Product 062,166.41,4,0.48,144.12
CA-2016-0063,6/30/2016,1/3/2016,Same Day,CUST-063,Customer 063,Consumer,United States,Phoenix,Arizona,59743,Central,PROD-0063,Office Supplies,Binders,Product 063,410.8,5,0.35,38.85
CA-2016-0064,1/16/2016,1/6/2016,Standard Class,CUST-064,Customer 064,Home Office,United States,Houston,California,64192,East,PROD-0064,Furniture,Chairs,Product 064,996.92,4,0.2,144.66
CA-2016-0065,3/13/2016,1/5/2016,Second Class,CUST-065,Customer 065,Consumer,United States,Houston,Illinois,91678,South,PROD-0065,Office Supplies,Phones,Product 065,272.32,1,0.47,-18.13
CA-2016-0066,12/16/2016,1/3/2016,First Class,CUST-066,Customer 066,Home Office,United States,Phoenix,Arizona,27086,West,PROD-0066,Technology,Binders,Product 066,818.55,5,0.26,-34.43
CA-2016-0067,4/5/2016,1/5/2016,Same Day,CUST-067,Customer 067,Home Office,United States,Chicago,Illinois,13227,West,PROD-0067,Furniture,Bookcases,Product 067,600.48,10,0.49,217.32
CA-2016-0068,10/18/2016,1/4/2016,First Class,CUST-068,Customer 068,Consumer,United States,Los Angeles,California,50854,East,PROD-0068,Furniture,Chairs,Product 068,491.98,7,0.12,-0.03
CA-2016-0069,4/10/2016,1/4/2016,Same Day,CUST-069,Customer 069,Corporate,United States,New York,Arizona,59063,Central,PROD-0069,Office Supplies,Bookcases,Product 069,405.25,7,0.35,168.16
CA-2016-0070,6/24/2016,1/5/2016,Second Class,CUST-070,Customer 070,Consumer,United States,New York,Illinois,95785,West,PROD-0070,Furniture,Binders,Product 070,23.65,3,0.4,143.16
CA-2016-0071,4/9/2016,1/4/2016,Second Class,CUST-071,Customer 071,Home Office,United States,Los Angeles,Illinois,21822,South,PROD-0071,Office Supplies,Art,Product 071,526.4,5,0.17,189.63
CA-2016-0072,7/21/2016,1/2/2016,Same Day,CUST-072,Customer 072,Home Office,United States,Houston,Illinois,85924,South,PROD-0072,Technology,Chairs,Product 072,896.93,8,0.11,229.52
CA-2016-0073,4/8/2016,1/6/2016,Second Class,CUST-073,Customer 073,Consumer,United States,New York,California,27215,South,PROD-0073,Office Supplies,Chairs,Product 073,773.69,4,0.18,265.34
CA-2016-0074,12/6/2016,1/2/2016,Same Day,CUST-074,Customer 074,Home Office,United States,Chicago,Illinois,22120,East,PROD-0074,Furniture,Bookcases,Product 074,639.09,7,0.07,101.07
CA-2016-0075,4/18/2016,1/4/2016,Same Day,CUST-075,Customer 075,Home Office,United States,Houston,Texas,80314,South,PROD-0075,Office Supplies,Binders,Product 075,464.75,5,0.37,279.47
CA-2016-0076,1/21/2016,1/5/2016,Standard Class,CUST-076,Customer 076,Corporate,United States,Chicago,Texas,94675,West,PROD-0076,Furniture,Art,Product 076,105.76,6,0.03,39.25
